held_out_source,inner_validation_source,seed,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,validation_rows
attack_flow,stockpile,45,0.4,0.1855536062441361,0.17437202193715273,0,109
attack_flow,stockpile,45,0.5,0.19002184878885592,0.1790772237935537,0,109
attack_flow,stockpile,45,0.6,0.19278176456698673,0.18640217528850447,1,109
attack_flow,stockpile,45,0.7,0.17489139962913997,0.1809194861830286,0,109
attack_flow,stockpile,45,0.8,0.17415134545343272,0.1836301084293418,0,109
attack_flow,stockpile,45,0.9,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,45,1.0,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,46,0.0,0.16107131525788845,0.12909526090771803,0,109
attack_flow,stockpile,46,0.1,0.15498866593134314,0.1404837172531744,0,109
attack_flow,stockpile,46,0.2,0.14050661699697994,0.14278786460537352,0,109
attack_flow,stockpile,46,0.3,0.18076391490293137,0.16763715041901942,0,109
attack_flow,stockpile,46,0.4,0.1831285032774839,0.17437202193715273,0,109
attack_flow,stockpile,46,0.5,0.19145798237727568,0.1790772237935537,0,109
attack_flow,stockpile,46,0.6,0.1924657776368646,0.18640217528850447,1,109
attack_flow,stockpile,46,0.7,0.17489139962913997,0.1809194861830286,0,109
attack_flow,stockpile,46,0.8,0.17415134545343272,0.1836301084293418,0,109
attack_flow,stockpile,46,0.9,0.17410847814214114,0.18419386758119152,0,109
attack_flow,stockpile,46,1.0,0.17410847814214114,0.18419386758119152,0,109
stockpile,ctid,42,0.0,0.19046414464855657,0.18306874644018506,0,263
stockpile,ctid,42,0.1,0.20616145358023713,0.20322097276725426,0,263
stockpile,ctid,42,0.2,0.20265200854471535,0.20331254835725837,0,263
stockpile,ctid,42,0.3,0.2004853905607548,0.21599725039114187,0,263
stockpile,ctid,42,0.4,0.19983752222741635,0.2236527287561758,1,263
stockpile,ctid,42,0.5,0.20262951668379126,0.22353626763719187,0,263
stockpile,ctid,42,0.6,0.2033661333501391,0.222895092066063,0,263
stockpile,ctid,42,0.7,0.19574702549627185,0.22031718542782935,0,263
stockpile,ctid,42,0.8,0.19512390896047677,0.21820779196571277,0,263
stockpile,ctid,42,0.9,0.19467200318502526,0.21747901502221573,0,263
stockpile,ctid,42,1.0,0.19427925702024187,0.21719035476355755,0,263
stockpile,ctid,43,0.0,0.17936170324827067,0.18306874644018506,0,263
stockpile,ctid,43,0.1,0.20124725576685903,0.20322097276725426,0,263
stockpile,ctid,43,0.2,0.1945971256651083,0.20331254835725837,0,263
stockpile,ctid,43,0.3,0.1945340460183685,0.21599725039114187,0,263
stockpile,ctid,43,0.4,0.19102205418804036,0.2236527287561758,1,263
stockpile,ctid,43,0.5,0.19583755308946552,0.22353626763719187,0,263
stockpile,ctid,43,0.6,0.19847430065860708,0.222895092066063,0,263
stockpile,ctid,43,0.7,0.1942409315889035,0.22031718542782935,0,263
stockpile,ctid,43,0.8,0.19531717057000136,0.21820779196571277,0,263
stockpile,ctid,43,0.9,0.1948551715503907,0.21747901502221573,0,263
stockpile,ctid,43,1.0,0.19427925702024187,0.21719035476355755,0,263
stockpile,ctid,44,0.0,0.18465394708908722,0.18306874644018506,0,263
stockpile,ctid,44,0.1,0.2065162074408886,0.20322097276725426,0,263
stockpile,ctid,44,0.2,0.20221870048440027,0.20331254835725837,0,263
stockpile,ctid,44,0.3,0.2043585326189976,0.21599725039114187,0,263
stockpile,ctid,44,0.4,0.19907456696654682,0.2236527287561758,1,263
stockpile,ctid,44,0.5,0.19778789275452174,0.22353626763719187,0,263
stockpile,ctid,44,0.6,0.2011480301292095,0.222895092066063,0,263
stockpile,ctid,44,0.7,0.1966783365964376,0.22031718542782935,0,263
stockpile,ctid,44,0.8,0.19512390896047677,0.21820779196571277,0,263
stockpile,ctid,44,0.9,0.19478883105373523,0.21747901502221573,0,263
stockpile,ctid,44,1.0,0.19427925702024187,0.21719035476355755,0,263
stockpile,ctid,45,0.0,0.17724593173876046,0.18306874644018506,0,263
stockpile,ctid,45,0.1,0.1963421798402885,0.20322097276725426,0,263
stockpile,ctid,45,0.2,0.19127895833466577,0.20331254835725837,0,263
stockpile,ctid,45,0.3,0.1922195212197189,0.21599725039114187,0,263
stockpile,ctid,45,0.4,0.1905354162620005,0.2236527287561758,1,263
stockpile,ctid,45,0.5,0.1959221974346211,0.22353626763719187,0,263
stockpile,ctid,45,0.6,0.19850126789246017,0.222895092066063,0,263
stockpile,ctid,45,0.7,0.19301641873062841,0.22031718542782935,0,263
stockpile,ctid,45,0.8,0.1953880787186098,0.21820779196571277,0,263
stockpile,ctid,45,0.9,0.19478883105373523,0.21747901502221573,0,263
stockpile,ctid,45,1.0,0.19427925702024187,0.21719035476355755,0,263
stockpile,ctid,46,0.0,0.17813646105743483,0.18306874644018506,0,263
stockpile,ctid,46,0.1,0.2026101646218937,0.20322097276725426,0,263
stockpile,ctid,46,0.2,0.19630018395086582,0.20331254835725837,0,263
stockpile,ctid,46,0.3,0.19601165331498177,0.21599725039114187,0,263
stockpile,ctid,46,0.4,0.1957391096921854,0.2236527287561758,1,263
stockpile,ctid,46,0.5,0.19945334263884953,0.22353626763719187,0,263
