held_out_source,inner_validation_source,tactic_lambda,b0_lambda,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,training_rows,validation_rows
ctid,stockpile,0.7,0.6,0.17493828819664012,0.20046129237649052,0,412,109
ctid,stockpile,0.8,0.6,0.1750309720043633,0.20126841384996724,0,412,109
ctid,stockpile,0.9,0.6,0.1750309720043633,0.2062483082555408,0,412,109
ctid,stockpile,1.0,0.6,0.17481060738892346,0.20713413214439813,0,412,109
ctid,stockpile,0.0,0.7,0.17427259734602676,0.20575813707664398,0,412,109
ctid,stockpile,0.1,0.7,0.17427259734602676,0.2057205818250316,0,412,109
ctid,stockpile,0.2,0.7,0.17427259734602676,0.2060022107761987,0,412,109
ctid,stockpile,0.3,0.7,0.17433118866785924,0.20563895559711057,0,412,109
ctid,stockpile,0.4,0.7,0.17417507238481117,0.2058267037341069,0,412,109
ctid,stockpile,0.5,0.7,0.1748922617001289,0.20599177672002333,0,412,109
ctid,stockpile,0.6,0.7,0.174720134628643,0.20702531398851576,0,412,109
ctid,stockpile,0.7,0.7,0.17407825090710036,0.20663263625996453,0,412,109
ctid,stockpile,0.8,0.7,0.17412585635608924,0.20682459067558331,0,412,109
ctid,stockpile,0.9,0.7,0.17429163471014475,0.20696820195805415,0,412,109
ctid,stockpile,1.0,0.7,0.17415134545343272,0.2069561502163246,0,412,109
ctid,stockpile,0.0,0.8,0.1743572782329124,0.20685983097934735,0,412,109
ctid,stockpile,0.1,0.8,0.1743572782329124,0.2071899426075693,1,412,109
ctid,stockpile,0.2,0.8,0.17410847814214114,0.2069948043561361,0,412,109
ctid,stockpile,0.3,0.8,0.17410847814214114,0.20698431172656306,0,412,109
ctid,stockpile,0.4,0.8,0.17410847814214114,0.20698431172656306,0,412,109
ctid,stockpile,0.5,0.8,0.17410847814214114,0.20706660663551937,0,412,109
ctid,stockpile,0.6,0.8,0.17410847814214114,0.20709859521861854,0,412,109
ctid,stockpile,0.7,0.8,0.17410847814214114,0.20710741360474091,0,412,109
ctid,stockpile,0.8,0.8,0.17410847814214114,0.20709272392333863,0,412,109
ctid,stockpile,0.9,0.8,0.17410847814214114,0.20709272392333863,0,412,109
ctid,stockpile,1.0,0.8,0.17410847814214114,0.20709272392333863,0,412,109
ctid,stockpile,0.0,0.9,0.17410847814214114,0.20711965500590948,0,412,109
ctid,stockpile,0.1,0.9,0.17410847814214114,0.20711965500590948,0,412,109
ctid,stockpile,0.2,0.9,0.17410847814214114,0.20711965500590948,0,412,109
ctid,stockpile,0.3,0.9,0.17410847814214114,0.20711965500590948,0,412,109
ctid,stockpile,0.4,0.9,0.17410847814214114,0.20711965500590948,0,412,109
ctid,stockpile,0.5,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.6,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.7,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.8,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.9,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,1.0,0.9,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.0,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.1,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.2,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.3,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.4,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.5,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.6,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.7,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.8,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,0.9,1.0,0.17410847814214114,0.2071049653245072,0,412,109
ctid,stockpile,1.0,1.0,0.17410847814214114,0.2071049653245072,0,412,109
stockpile,attack_flow,0.0,0.0,0.16870957083712054,0.16680795007023264,0,263,412
stockpile,attack_flow,0.1,0.0,0.17263951215884168,0.16754729758775583,0,263,412
stockpile,attack_flow,0.2,0.0,0.16737433158240822,0.16000505402053486,0,263,412
stockpile,attack_flow,0.3,0.0,0.15076432647720964,0.1447489731356731,0,263,412
stockpile,attack_flow,0.4,0.0,0.13780497888332516,0.13304863778534626,0,263,412
stockpile,attack_flow,0.5,0.0,0.1184072198012693,0.11603032609627575,0,263,412
stockpile,attack_flow,0.6,0.0,0.11435393626668028,0.10564909050821349,0,263,412
stockpile,attack_flow,0.7,0.0,0.07386044851930554,0.08014717909577482,0,263,412
stockpile,attack_flow,0.8,0.0,0.05865627072034269,0.06979280574157129,0,263,412
stockpile,attack_flow,0.9,0.0,0.03594299399115976,0.05925303233815347,0,263,412
stockpile,attack_flow,1.0,0.0,0.018325913018086924,0.027984758145042532,0,263,412
stockpile,attack_flow,0.0,0.1,0.19917668407425487,0.18760398145906354,0,263,412
stockpile,attack_flow,0.1,0.1,0.19766199495210643,0.18596696445669275,0,263,412
stockpile,attack_flow,0.2,0.1,0.19728512337753257,0.1837229529197068,0,263,412
stockpile,attack_flow,0.3,0.1,0.1856075947054714,0.1741090263239944,0,263,412
stockpile,attack_flow,0.4,0.1,0.18431672518277945,0.17270354494358153,0,263,412
stockpile,attack_flow,0.5,0.1,0.170767772824696,0.16044529517092015,0,263,412
stockpile,attack_flow,0.6,0.1,0.16313577209729693,0.150298623590623,0,263,412
stockpile,attack_flow,0.7,0.1,0.14888401240280857,0.1350956961568355,0,263,412
stockpile,attack_flow,0.8,0.1,0.15622687560208007,0.13569145027115043,0,263,412
stockpile,attack_flow,0.9,0.1,0.150590770416647,0.13410822002605619,0,263,412
stockpile,attack_flow,1.0,0.1,0.14043331885958205,0.11922063195129498,0,263,412
stockpile,attack_flow,0.0,0.2,0.22277557760096117,0.2042478239264267,0,263,412
stockpile,attack_flow,0.1,0.2,0.22492203290930213,0.2031689168053996,0,263,412
stockpile,attack_flow,0.2,0.2,0.22427279922047985,0.201795506085336,0,263,412
stockpile,attack_flow,0.3,0.2,0.2165654236747693,0.196665993981895,0,263,412
stockpile,attack_flow,0.4,0.2,0.22091185547373593,0.1964895119126048,0,263,412
stockpile,attack_flow,0.5,0.2,0.21858873811295926,0.19344204139245816,0,263,412
stockpile,attack_flow,0.6,0.2,0.21549093507507008,0.19193323600028672,0,263,412
stockpile,attack_flow,0.7,0.2,0.21214919162432602,0.18730452906885636,0,263,412
stockpile,attack_flow,0.8,0.2,0.21104327389236976,0.18514574130921807,0,263,412
stockpile,attack_flow,0.9,0.2,0.2090433793889773,0.18346673141777378,0,263,412
stockpile,attack_flow,1.0,0.2,0.20533270383230987,0.17238187351380202,0,263,412
stockpile,attack_flow,0.0,0.3,0.2427314305635758,0.21812345165946012,0,263,412
stockpile,attack_flow,0.1,0.3,0.24143834774345788,0.21724029325490646,0,263,412
stockpile,attack_flow,0.2,0.3,0.24099671495988031,0.2157037650955188,0,263,412
stockpile,attack_flow,0.3,0.3,0.2379705902828045,0.21220032647342169,0,263,412
stockpile,attack_flow,0.4,0.3,0.238155370802549,0.21121332846733878,0,263,412
stockpile,attack_flow,0.5,0.3,0.23359883598396286,0.20819379504317576,0,263,412
stockpile,attack_flow,0.6,0.3,0.2328506769199088,0.20646980728245112,0,263,412
stockpile,attack_flow,0.7,0.3,0.22625033744279913,0.2048528544800018,0,263,412
stockpile,attack_flow,0.8,0.3,0.22471099466587408,0.20436969112465447,0,263,412
stockpile,attack_flow,0.9,0.3,0.2239825801152836,0.20246622212541598,0,263,412
stockpile,attack_flow,1.0,0.3,0.2233046035507603,0.1957584908701201,0,263,412
stockpile,attack_flow,0.0,0.4,0.25059265286916804,0.22338085356328108,1,263,412
stockpile,attack_flow,0.1,0.4,0.2491413181247677,0.22200857040684074,0,263,412
stockpile,attack_flow,0.2,0.4,0.24701906381439806,0.2212856147274855,0,263,412
stockpile,attack_flow,0.3,0.4,0.2441762228295057,0.21882337241782884,0,263,412
stockpile,attack_flow,0.4,0.4,0.24052039923390572,0.216678322939792,0,263,412
stockpile,attack_flow,0.5,0.4,0.23969257542222389,0.21479612997720415,0,263,412
stockpile,attack_flow,0.6,0.4,0.2355782628583684,0.21203579819181612,0,263,412
stockpile,attack_flow,0.7,0.4,0.23012487300515957,0.2099743077215907,0,263,412
stockpile,attack_flow,0.8,0.4,0.2377832610413266,0.21417241150279415,0,263,412
stockpile,attack_flow,0.9,0.4,0.2397709930037458,0.2164899786776352,0,263,412
stockpile,attack_flow,1.0,0.4,0.23903057112192896,0.2122588567891916,0,263,412
stockpile,attack_flow,0.0,0.5,0.2477545660619224,0.2216034857546931,0,263,412
stockpile,attack_flow,0.1,0.5,0.2475376069802338,0.2210144893053389,0,263,412
stockpile,attack_flow,0.2,0.5,0.24566743614120756,0.22051150568254582,0,263,412
stockpile,attack_flow,0.3,0.5,0.24301986873547382,0.21903020716152638,0,263,412
stockpile,attack_flow,0.4,0.5,0.24176621625897837,0.21795098650089217,0,263,412
stockpile,attack_flow,0.5,0.5,0.2386212041132309,0.21642214142449964,0,263,412
stockpile,attack_flow,0.6,0.5,0.23947860729798015,0.21615906804248736,0,263,412
stockpile,attack_flow,0.7,0.5,0.23941770455627376,0.21687259629076874,0,263,412
stockpile,attack_flow,0.8,0.5,0.23994799570355585,0.21789004650672447,0,263,412
stockpile,attack_flow,0.9,0.5,0.2414894140812307,0.21817770097335626,0,263,412
stockpile,attack_flow,1.0,0.5,0.24044309625013902,0.2167940874771216,0,263,412
stockpile,attack_flow,0.0,0.6,0.24329079421554078,0.21845726558849124,0,263,412
stockpile,attack_flow,0.1,0.6,0.24361215172621203,0.21865111459215458,0,263,412
stockpile,attack_flow,0.2,0.6,0.24281101541943942,0.2181997151629701,0,263,412
stockpile,attack_flow,0.3,0.6,0.2395473826177218,0.21767556329742693,0,263,412
stockpile,attack_flow,0.4,0.6,0.23980686723800224,0.21796647880007602,0,263,412
stockpile,attack_flow,0.5,0.6,0.23957233363838368,0.218282667950969,0,263,412
stockpile,attack_flow,0.6,0.6,0.2407301332536099,0.2183089208911042,0,263,412
stockpile,attack_flow,0.7,0.6,0.2415576994340451,0.21858555268090396,0,263,412
stockpile,attack_flow,0.8,0.6,0.24132779792106662,0.21813957368619982,0,263,412
stockpile,attack_flow,0.9,0.6,0.2410831310846678,0.2178686405186422,0,263,412
stockpile,attack_flow,1.0,0.6,0.24017933527795493,0.21726967411783285,0,263,412
stockpile,attack_flow,0.0,0.7,0.24041111772539908,0.21761135921513478,0,263,412
stockpile,attack_flow,0.1,0.7,0.24044431366061422,0.21762795718274236,0,263,412
stockpile,attack_flow,0.2,0.7,0.24044431366061422,0.21762795718274236,0,263,412
stockpile,attack_flow,0.3,0.7,0.24047750959582936,0.2177084439207279,0,263,412
stockpile,attack_flow,0.4,0.7,0.24101026134005923,0.21788920922307747,0,263,412
stockpile,attack_flow,0.5,0.7,0.24092639805509097,0.2177630207123495,0,263,412
stockpile,attack_flow,0.6,0.7,0.24085186966002275,0.2177257565148154,0,263,412
stockpile,attack_flow,0.7,0.7,0.24041900927683799,0.2174352392344115,0,263,412
stockpile,attack_flow,0.8,0.7,0.24025083421534135,0.21739585942967013,0,263,412
stockpile,attack_flow,0.9,0.7,0.24025083421534135,0.21739585942967013,0,263,412
stockpile,attack_flow,1.0,0.7,0.24025083421534135,0.21730785474114095,0,263,412
stockpile,attack_flow,0.0,0.8,0.24054970203813858,0.21748704660110113,0,263,412
stockpile,attack_flow,0.1,0.8,0.2404909433125295,0.2174576672382966,0,263,412
stockpile,attack_flow,0.2,0.8,0.2404909433125295,0.2174576672382966,0,263,412
stockpile,attack_flow,0.3,0.8,0.24031859317304413,0.21737149216855392,0,263,412
stockpile,attack_flow,0.4,0.8,0.24026962756836986,0.2173470093662168,0,263,412
stockpile,attack_flow,0.5,0.8,0.24010145250687326,0.21726292183546847,0,263,412
stockpile,attack_flow,0.6,0.8,0.24010145250687326,0.21726292183546847,0,263,412
stockpile,attack_flow,0.7,0.8,0.24010145250687326,0.21724659996724371,0,263,412
stockpile,attack_flow,0.8,0.8,0.24010145250687326,0.21724659996724371,0,263,412
stockpile,attack_flow,0.9,0.8,0.24010145250687326,0.21715718451522983,0,263,412
stockpile,attack_flow,1.0,0.8,0.24010145250687326,0.21719035476355758,0,263,412
stockpile,attack_flow,0.0,0.9,0.24010145250687326,0.21719035476355758,0,263,412
