method,held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+P,attack_flow,ctid,46,60,0.5,0.11012361205124335,0.10118453657914903,0,109,263
HM+P,attack_flow,ctid,46,60,0.6,0.10900206860187071,0.09277659685383194,0,109,263
HM+P,attack_flow,ctid,46,60,0.7,0.11974946919635124,0.09214466941657719,0,109,263
HM+P,attack_flow,ctid,46,60,0.8,0.12264649043740379,0.0920412052049993,0,109,263
HM+P,attack_flow,ctid,46,60,0.9,0.12592350821529003,0.09064970463728131,0,109,263
HM+P,attack_flow,ctid,46,60,1.0,0.1219277415460801,0.0914503383348435,0,109,263
HM+P,attack_flow,ctid,46,80,0.0,0.1025195286050203,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,46,80,0.1,0.1017170890944713,0.11552790343123809,0,109,263
HM+P,attack_flow,ctid,46,80,0.2,0.10108727850039331,0.11403353974475358,0,109,263
HM+P,attack_flow,ctid,46,80,0.3,0.1007546378772709,0.11226162186915496,0,109,263
HM+P,attack_flow,ctid,46,80,0.4,0.10204849499137618,0.10752085147335119,0,109,263
HM+P,attack_flow,ctid,46,80,0.5,0.10833470945497314,0.10170354010075278,0,109,263
HM+P,attack_flow,ctid,46,80,0.6,0.11643834682289715,0.09226177839234292,0,109,263
HM+P,attack_flow,ctid,46,80,0.7,0.11836265528406993,0.0873343583672137,0,109,263
HM+P,attack_flow,ctid,46,80,0.8,0.12092700887092142,0.08761810120667297,0,109,263
HM+P,attack_flow,ctid,46,80,0.9,0.12189148747923102,0.08839473325475976,0,109,263
HM+P,attack_flow,ctid,46,80,1.0,0.12229464258097929,0.08886070868361154,0,109,263
HM+P,attack_flow,ctid,46,100,0.0,0.1025195286050203,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,46,100,0.1,0.10279188215269859,0.11637248892859857,0,109,263
HM+P,attack_flow,ctid,46,100,0.2,0.10120183711752284,0.11493940206444635,0,109,263
HM+P,attack_flow,ctid,46,100,0.3,0.09874229116719657,0.11323336152389833,0,109,263
HM+P,attack_flow,ctid,46,100,0.4,0.10247780836833889,0.10781646636953066,0,109,263
HM+P,attack_flow,ctid,46,100,0.5,0.10825196054795508,0.10183834940515804,0,109,263
HM+P,attack_flow,ctid,46,100,0.6,0.11269302973464501,0.09132822717983281,0,109,263
HM+P,attack_flow,ctid,46,100,0.7,0.11750506456989147,0.08964461512793773,0,109,263
HM+P,attack_flow,ctid,46,100,0.8,0.12003893586163787,0.08815867154178511,0,109,263
HM+P,attack_flow,ctid,46,100,0.9,0.12279802770467001,0.08786487902391679,0,109,263
HM+P,attack_flow,ctid,46,100,1.0,0.13544461631172067,0.08983011852175946,0,109,263
HM+P,attack_flow,stockpile,42,20,0.0,0.15578535298008467,0.12909526090771803,1,263,109
HM+P,attack_flow,stockpile,42,20,0.1,0.12933406225352762,0.11477009566858005,0,263,109
HM+P,attack_flow,stockpile,42,20,0.2,0.12693047714875075,0.11217668910597807,0,263,109
HM+P,attack_flow,stockpile,42,20,0.3,0.11443890877626756,0.10725866191130178,0,263,109
HM+P,attack_flow,stockpile,42,20,0.4,0.09718138745492307,0.10098382971523823,0,263,109
HM+P,attack_flow,stockpile,42,20,0.5,0.06483965267115659,0.08942598133122305,0,263,109
HM+P,attack_flow,stockpile,42,20,0.6,0.07819163529147331,0.09250733668308656,0,263,109
HM+P,attack_flow,stockpile,42,20,0.7,0.07642272255395674,0.09502037451407179,0,263,109
HM+P,attack_flow,stockpile,42,20,0.8,0.07394071857671781,0.09469445477690416,0,263,109
