held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
stockpile,CO,text_length,lt40,67,17,1,0.0,0.0,0.0,0.0
stockpile,CO,target_size,1,29,24,1,0.01794485658639138,0.041666666666666664,0.008333333333333333,0.041666666666666664
stockpile,CO,target_size,2,40,20,1,0.0,0.0,0.0,0.0
stockpile,CO,target_size,3,40,12,1,0.0,0.0,0.0,0.0
stockpile,A,transition_visibility,all_seen,31,20,1,0.21285591684670688,0.425,0.09142857142857144,0.3386904761904762
stockpile,A,transition_visibility,all_unseen,36,17,1,0.0028445059355481,0.007352941176470588,0.0014705882352941176,0.007352941176470588
stockpile,A,transition_visibility,mixed,42,17,1,0.16113452516492874,0.5843137254901961,0.11686274509803922,0.24174836601307192
stockpile,A,target_label_visibility,all_seen,100,27,1,0.12531101578892703,0.31561278227944894,0.06485415818749153,0.18392456309122973
stockpile,A,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,A,target_label_visibility,mixed,8,3,0,0.06517760083649395,0.27777777777777773,0.05555555555555556,0.0925925925925926
stockpile,A,text_length,ge40,42,21,1,0.15179876501877865,0.28174603174603174,0.05873015873015873,0.18915343915343916
stockpile,A,text_length,lt40,67,17,1,0.185751565011238,0.4940099116569705,0.10048265460030166,0.2992880485527544
stockpile,A,target_size,1,29,24,1,0.18191018051932542,0.3333333333333333,0.06666666666666667,0.3333333333333333
stockpile,A,target_size,2,40,20,1,0.16154232982096958,0.4091666666666667,0.0835,0.20875
stockpile,A,target_size,3,40,12,1,0.13805165989604282,0.5500090187590188,0.1183351370851371,0.19722522847522847
stockpile,K,transition_visibility,all_seen,31,20,1,0.35759157270310593,0.6178571428571429,0.1385714285714286,0.5607142857142857
stockpile,K,transition_visibility,all_unseen,36,17,1,0.0,0.0,0.0,0.0
stockpile,K,transition_visibility,mixed,42,17,1,0.29243375267398153,0.8264705882352942,0.1652941176470588,0.3616830065359477
stockpile,K,target_label_visibility,all_seen,100,27,1,0.22515157686180765,0.4771327437994105,0.10036482036482036,0.3177068302068302
stockpile,K,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,K,target_label_visibility,mixed,8,3,0,0.10831601560289349,0.38888888888888884,0.07777777777777778,0.12962962962962962
stockpile,K,text_length,ge40,42,21,1,0.2791781312800426,0.496031746031746,0.10873015873015875,0.3756613756613757
stockpile,K,text_length,lt40,67,17,1,0.2362068912795839,0.4856065503124327,0.10104287868993751,0.2967670401493931
stockpile,K,target_size,1,29,24,1,0.29180160994347704,0.4583333333333333,0.09166666666666667,0.4583333333333333
stockpile,K,target_size,2,40,20,1,0.2728405481715628,0.6008333333333333,0.13516666666666668,0.3379166666666667
stockpile,K,target_size,3,40,12,1,0.16112163254260412,0.5743145743145743,0.11486291486291487,0.19143819143819144
stockpile,T,transition_visibility,all_seen,31,20,1,0.21552708330273948,0.41785714285714287,0.095,0.34404761904761905
stockpile,T,transition_visibility,all_unseen,36,17,1,0.0,0.0,0.0,0.0
stockpile,T,transition_visibility,mixed,42,17,1,0.21726575771853332,0.8196078431372549,0.163921568627451,0.3593954248366013
stockpile,T,target_label_visibility,all_seen,100,27,1,0.1442411971987539,0.38261614928281595,0.08195853529186863,0.22315015231681898
stockpile,T,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,T,target_label_visibility,mixed,8,3,0,0.06517760083649395,0.27777777777777773,0.05555555555555556,0.0925925925925926
stockpile,T,text_length,ge40,42,21,1,0.18219750680999688,0.3650793650793651,0.08492063492063492,0.2486772486772487
stockpile,T,text_length,lt40,67,17,1,0.18228932788967292,0.48812755871579405,0.09930618401206637,0.293405695611578
stockpile,T,target_size,1,29,24,1,0.1577318800671666,0.2708333333333333,0.05416666666666667,0.2708333333333333
stockpile,T,target_size,2,40,20,1,0.2202636256498484,0.6091666666666666,0.1335,0.33375
stockpile,T,target_size,3,40,12,1,0.13869124443292224,0.5500090187590188,0.1183351370851371,0.19722522847522847
